subject_id,subject_label,subject_type,predicate,object_id,object_label,object_type,methodological_note,source_reference
carbon_intensity_workbook,02_Carbon_intensities_of_EU_Countries_EMBER.xlsx,curated_workbook,contains_sheet,carbon_final,Carbon_Final,data_sheet,Curated country-level Toola input sheet containing 2024 and 2025 carbon-intensity values.,02_Carbon_intensities_of_EU_Countries_EMBER.xlsx#Carbon_Final
carbon_final,Carbon_Final,data_sheet,contains_field,entity,entity,field,Country or economy label in the curated carbon-intensity summary table.,02_Carbon_intensities_of_EU_Countries_EMBER.xlsx#Carbon_Final
carbon_final,Carbon_Final,data_sheet,contains_field,carbon_intensity_2024,2024,field,Country-level electricity carbon intensity for calendar year 2024.,02_Carbon_intensities_of_EU_Countries_EMBER.xlsx#Carbon_Final
carbon_final,Carbon_Final,data_sheet,contains_field,carbon_intensity_2025,2025,field,Country-level electricity carbon intensity for calendar year 2025.,02_Carbon_intensities_of_EU_Countries_EMBER.xlsx#Carbon_Final
flexrican_carbon_intensity_summary,FlexRICAN Carbon Intensity Summary,curated_dataset,is_derived_from,ember_carbon_intensity_raw_exports,Ember Carbon Intensity Raw Exports,raw_dataset,"Manual export sequence was repeated for country groups, imported into Excel Power Query, appended, filtered and pivoted to separate 2024 and 2025 columns.",02_Carbon_intensities_of_EU_Countries_EMBER.xlsx
flexrican_carbon_intensity_summary,FlexRICAN Carbon Intensity Summary,curated_dataset,is_contextualised_by,ember_energy_mix_long_format,Ember Energy Mix Long-Format Dataset,raw_dataset,"EnergyMIX provides wider context for interpreting country-level carbon-intensity values through generation mix, capacity, demand, imports and power-sector emissions.",01_EnergyMIX_of_EU_Countries_EMBER.xlsx
flexrican_carbon_intensity_summary,FlexRICAN Carbon Intensity Summary,curated_dataset,provides_input_to,toola_calculation_run,Toola Calculation Run,model_process,Country-year carbon-intensity values are selected according to Toola scenario configuration and used as input parameters.,FlexRICAN Toola methodology
toola_scenario_configuration,Toola Scenario Configuration,configuration,selects,country_or_economy,Country or Economy,scenario_dimension,The user-selected location determines the country-level electricity carbon intensity and energy-system context used in Toola.,FlexRICAN Toola methodology
toola_scenario_configuration,Toola Scenario Configuration,configuration,selects,analysis_year,Analysis Year,scenario_dimension,The selected year determines which annual carbon-intensity value is used.,FlexRICAN Toola methodology
toola_scenario_configuration,Toola Scenario Configuration,configuration,selects,facility_type,Facility Type,scenario_dimension,"Facility type frames demand profile, operational assumptions and resilience requirements.",FlexRICAN Toola methodology
facility_electricity_demand_profile,Facility Electricity Demand Profile,input_dataset,provides_input_to,toola_calculation_run,Toola Calculation Run,model_process,"Facility electricity demand profile is the baseline load against which renewable generation, grid import and storage needs are assessed.",FlexRICAN Toola methodology
facility_electricity_demand_profile,Facility Electricity Demand Profile,input_dataset,is_multiplied_by,country_carbon_intensity,Country Carbon Intensity,parameter,Grid electricity demand or import is multiplied by the selected country-year carbon intensity to estimate grid electricity emissions.,FlexRICAN Toola calculation logic
country_carbon_intensity,Country Carbon Intensity,parameter,is_selected_from,flexrican_carbon_intensity_summary,FlexRICAN Carbon Intensity Summary,curated_dataset,The country and analysis year determine which value is selected from the curated summary table.,02_Carbon_intensities_of_EU_Countries_EMBER.xlsx#Carbon_Final
pv_generation_potential,PV Generation Potential,input_dataset,provides_input_to,toola_calculation_run,Toola Calculation Run,model_process,Location-dependent PV generation potential is used to estimate possible local renewable electricity contribution.,FlexRICAN Toola methodology
wind_generation_potential,Wind Generation Potential,input_dataset,provides_input_to,toola_calculation_run,Toola Calculation Run,model_process,Location-dependent wind generation potential is used to estimate possible local renewable electricity contribution where wind scenarios are included.,FlexRICAN Toola methodology
climate_projection_scenarios,Climate Projection Scenarios,input_dataset,defines_context_for,future_energy_chain_assessment,Future Energy-Chain Assessment,model_context,Climate projections frame future weather-dependent renewable generation and possibly future HVAC/cooling-related demand assumptions.,FlexRICAN Toola methodology
technology_parameters,Technology Parameters,parameter_set,provides_input_to,toola_calculation_run,Toola Calculation Run,model_process,"Technology parameters include PV, wind, BESS, grid, CHP, diesel or other energy-chain assumptions used in scenario calculations.",FlexRICAN Toola methodology
bess_roundtrip_efficiency,BESS Round-Trip Efficiency,parameter,is_part_of,technology_parameters,Technology Parameters,parameter_set,"Battery efficiency affects usable stored energy, renewable self-consumption and storage sizing.",FlexRICAN Toola methodology
grid_import,Grid Import,calculation_step,is_computed_from,facility_demand_minus_local_generation_and_storage,Facility Demand Minus Local Generation and Storage,calculation_dependency,"Grid import depends on the load profile, local renewable generation profile and storage operation assumptions.",FlexRICAN Toola calculation logic
annual_grid_emissions,Annual Grid Electricity Emissions,output_indicator,is_computed_from,grid_import_and_country_carbon_intensity,Grid Import and Country Carbon Intensity,calculation_dependency,Annual grid emissions are computed by combining electricity imported from the grid with the selected country-year carbon intensity.,FlexRICAN Toola calculation logic
renewable_energy_contribution,Renewable Energy Contribution,output_indicator,is_computed_from,pv_generation_and_wind_generation,PV Generation and Wind Generation,calculation_dependency,Renewable contribution is derived from local PV and wind generation estimates relative to the facility demand.,FlexRICAN Toola calculation logic
bess_energy_capacity,BESS Energy Capacity,output_indicator,is_computed_from,demand_profile_generation_profile_and_resilience_target,"Demand Profile, Generation Profile and Resilience Target",calculation_dependency,"Battery energy capacity is informed by demand profile, local generation profile and resilience or operational continuity requirements.",FlexRICAN Toola calculation logic
bess_power_capacity,BESS Power Capacity,output_indicator,is_computed_from,peak_power_and_operational_constraints,Peak Power and Operational Constraints,calculation_dependency,"Battery power capacity is informed by load peaks, ramp requirements and selected operational constraints.",FlexRICAN Toola calculation logic
grid_dependency,Grid Dependency,output_indicator,is_computed_from,grid_import_and_total_demand,Grid Import and Total Demand,calculation_dependency,Grid dependency expresses the relationship between imported grid electricity and total electricity demand.,FlexRICAN Toola calculation logic
scenario_comparison_result,Scenario Comparison Result,output_indicator,is_computed_from,scenario_configuration_and_input_datasets,Scenario Configuration and Input Datasets,calculation_dependency,"Scenario comparison results are computed from country, year, facility profile, technology assumptions and selected renewable/resource datasets.",FlexRICAN Toola methodology
toola_calculation_run,Toola Calculation Run,model_process,produces,annual_grid_emissions,Annual Grid Electricity Emissions,output_indicator,Toola produces grid emissions as a scenario output indicator.,FlexRICAN Toola methodology
toola_calculation_run,Toola Calculation Run,model_process,produces,renewable_energy_contribution,Renewable Energy Contribution,output_indicator,Toola produces renewable contribution as a scenario output indicator.,FlexRICAN Toola methodology
toola_calculation_run,Toola Calculation Run,model_process,produces,bess_energy_capacity,BESS Energy Capacity,output_indicator,Toola produces BESS energy capacity or sizing guidance as a scenario output.,FlexRICAN Toola methodology
toola_calculation_run,Toola Calculation Run,model_process,produces,bess_power_capacity,BESS Power Capacity,output_indicator,Toola produces BESS power capacity or sizing guidance as a scenario output.,FlexRICAN Toola methodology
toola_calculation_run,Toola Calculation Run,model_process,produces,scenario_comparison_result,Scenario Comparison Result,output_indicator,Toola produces comparative outputs for selected country/year/scenario combinations.,FlexRICAN Toola methodology
toola_data_relationships,Toola Data Relationships,relationship_table,is_described_by,flexrican_toola_data_graph_oemetadata,FlexRICAN Toola Data Graph OEMetadata,metadata_record,The relationship table is documented by the OEMetadata record created in the Open Energy Platform OEMetaBuilder.,oemetadata.metadata (1).json
toola_data_relationships,Toola Data Relationships,relationship_table,can_be_serialised_as,toola_data_graph_jsonld,Toola Data Graph JSON-LD,graph_serialisation,The subject-predicate-object relationship table can be converted into JSON-LD for graph visualisation or semantic web workflows.,toola_data_relationships.csv
